Question,Option A,Option B,Option C,Option D,Correct Answer
What is EJS primarily used for?,Database connection,Templating HTML in Node.js,Managing sessions,Handling authentication,Templating HTML in Node.js
How do you render an EJS template in Express?,res.render('template'),res.send('template'),res.ejs('template'),res.display('template'),res.render('template')
Which file extension is commonly used for EJS templates?,.ejs,.html,.js,.tpl,.ejs
How do you pass data to an EJS template in Express?,res.render('template' data),res.render('template' {data}),res.render('template' {key:value}),res.render('template' {key:value}),res.render('template' {key:value})
Which syntax is used for outputting escaped content in EJS?,<%= %>,<% %>,<%- %>,{{ }},<%= %>
Which syntax is used for outputting unescaped content in EJS?,<%- %>,<%= %>,<% %>,{{ }},<%- %>
How do you include a partial in an EJS template?,<%- include('partial') %>,<% include('partial') %>,<% partial('partial') %>,<%- partial('partial') %>,<%- include('partial') %>
Which method is used in Express to set the view engine to EJS?,app.set('view engine' 'ejs'),app.engine('ejs'),app.use('ejs'),app.view('ejs'),app.set('view engine' 'ejs')
What is the default directory for EJS templates in Express?,views,templates,ejs,public,views
How can you loop through an array in EJS?,<% for(var i=0; i<arr.length; i++){ %> ... <% } %>,<%= for ... %>,<%- for ... %>,{{ for ... }},<% for(var i=0; i<arr.length; i++){ %> ... <% } %>
Which of the following is NOT a feature of EJS?,Supports template inheritance,Supports partials,Supports plain JS in templates,Supports CSS preprocessing,Supports CSS preprocessing
How do you comment in EJS templates?,<%# comment %>,<!-- comment -->,## comment,<%-- comment --%>,<%# comment %>
Which of the following is a benefit of using EJS?,Separation of concerns,No need for HTML,Automatic database queries,Built-in authentication,Separation of concerns
Which of the following is NOT a valid way to render a list in EJS?,Using a for loop,Using a while loop,Using a map function,Using a foreach directive,Using a foreach directive
What is the purpose of the locals object in EJS?,Passes data to templates,Stores session data,Handles authentication,Manages routes,Passes data to templates
Which of the following is true about EJS?,Allows embedding JS in HTML,Requires a browser plugin,Only works with PHP,Does not support partials,Allows embedding JS in HTML
Which of the following is NOT a valid way to use EJS?,With Express,With Koa,As a static HTML file,With vanilla Node.js,As a static HTML file
What does EJS stand for?,Embedded JavaScript,Express JavaScript,External JavaScript,Engine JavaScript,Embedded JavaScript
Which of the following is true about Mongoose?,It is an ODM for MongoDB,It is a SQL ORM,It is a templating engine,It is a NoSQL database,It is an ODM for MongoDB
How do you define a model in Mongoose?,mongoose.model('Name' schema),mongoose.createModel('Name' schema),mongoose.addModel('Name' schema),model('Name' schema),mongoose.model('Name' schema)
Which method is used to close a Mongoose connection?,disconnect(),close(),end(),terminate(),disconnect()
What does the select() method do in Mongoose?,Specifies which fields to include or exclude,Sorts results,Limits the number of results,Populates references,Specifies which fields to include or exclude
Which of the following is NOT a valid query helper in Mongoose?,where(),sort(),limit(),filterBy(),filterBy()
How do you create an index in Mongoose schema?,schema.index({field:1}),schema.addIndex({field:1}),schema.setIndex({field:1}),schema.createIndex({field:1}),schema.index({field:1})
Which of the following is true about EJS partials?,They allow code reuse,They are only for CSS,They are used for database queries,They are only for JavaScript,They allow code reuse
Which of the following is NOT a valid EJS delimiter?,<% %>,<%= %>,<%- %>,<%% %>,<%% %>
How do you escape output in EJS?,Use <%= %>,Use <%- %>,Use <%% %>,Use <% %>,Use <%= %>
What does the limit() method do in Mongoose?,Limits the number of documents returned,Limits the number of fields,Limits the number of models,Limits the number of schemas,Limits the number of documents returned
Which of the following is NOT a valid Mongoose document method?,save(),update(),remove(),add(),add()
How do you handle errors in EJS templates?,With try-catch in JS,With error blocks,By passing error to the template,All of the above,By passing error to the template
Which of the following is true about EJS?,It is synchronous,It is asynchronous,It can be both,It is a database,It can be both
What is the use of the renderFile() method in EJS?,Renders an EJS file,Deletes a file,Compiles a file,Reads a file,Renders an EJS file
Which of the following is NOT a valid EJS feature?,Template inheritance,Includes,Plain JS,Database queries,Database queries
How do you specify a custom views directory in Express?,app.set('views' path),app.views(path),app.use('views' path),app.viewDir(path),app.set('views' path)
Which of the following is NOT a valid EJS variable?,locals,include,partial,template,partial
What is the use of the model() function in Mongoose?,Defines a model,Defines a schema,Defines a connection,Defines a template,Defines a model
Which of the following is true about embedded documents in Mongoose?,They are subdocuments,They are separate collections,They are always required,They are only for arrays,They are subdocuments
How do you reference another collection in Mongoose?,Using ObjectId and ref,Using String,Using Number,Using Boolean,Using ObjectId and ref
Which of the following is NOT a valid EJS control structure?,if,for,while,foreach,foreach
How do you render a template with EJS in vanilla Node.js?,Use ejs.renderFile(),Use res.render(),Use ejs.view(),Use ejs.template(),Use ejs.renderFile()
Which of the following is NOT a Mongoose connection event?,connected,disconnected,error,joined,joined
What is the use of the findOneAndUpdate() method in Mongoose?,Finds and updates a single document,Finds and deletes a document,Finds and creates a document,Finds and removes a document,Finds and updates a single document
Which of the following is NOT a valid EJS file extension?,.ejs,.html,.js,.tpl,.js
How do you set EJS as the view engine in Express?,app.set('view engine' 'ejs'),app.engine('ejs'),app.use('ejs'),app.view('ejs'),app.set('view engine' 'ejs')
How do you render a template with variables in EJS?,res.render('template' {key:value}),res.render('template'),res.send('template'),res.ejs('template'),res.render('template' {key:value})
Which of the following is NOT a valid way to include partials in EJS?,<%- include('partial') %>,<% include('partial') %>,<%- partial('partial') %>,<%- include('partial') %>,<%- partial('partial') %>
Which of the following is NOT a valid EJS syntax?,<% %>,<%= %>,<%- %>,<%-- %>,<%-- %>
Which of the following is NOT a valid Mongoose schema type?,String,Number,Boolean,ArrayList,ArrayList
How do you use a custom helper in EJS?,Pass it in locals,Define in template,Import in template,Use as global,Pass it in locals
Which of the following is NOT a valid Mongoose query method?,find(),findOne(),findById(),findByName(),findByName()
How do you specify a minimum value for a Number in Mongoose schema?,min: value,minValue: value,minimum: value,minVal: value,min: value
How do you specify a maximum value for a Number in Mongoose schema?,max: value,maxValue: value,maximum: value,maxVal: value,max: value
What is the use of the required validator in Mongoose?,Makes a field mandatory,Makes a field optional,Removes a field,Makes a field unique,Makes a field mandatory
How do you specify a custom error message for a required field in Mongoose?,required: [true 'message'],required: true,message: 'message',requiredMessage: 'message',required: [true 'message']
Which of the following is NOT a valid EJS feature?,Partials,Includes,Template inheritance,Database queries,Database queries
What is the use of the findOne() method in Mongoose?,Finds a single document,Finds multiple documents,Deletes a document,Updates a document,Finds a single document
How do you specify a default value for a field in Mongoose?,default: value,defaultValue: value,def: value,defaultVal: value,default: value
Which of the following is NOT a valid EJS delimiter?,<% %>,<%= %>,<%- %>,<%% %>,<%% %>
How do you use a layout in EJS?,With express-ejs-layouts,With ejs-layouts,With express-layouts,With ejs-templates,With express-ejs-layouts
How do you specify a sparse index in Mongoose?,sparse: true,sparseIndex: true,sparse: 1,sparseVal: true,sparse: true
How do you specify a unique index in Mongoose?,unique: true,uniqueIndex: true,unique: 1,uniqueVal: true,unique: true
Which of the following is NOT a valid way to use EJS?,With Express,With Koa,With vanilla Node.js,With PHP,With PHP
How do you specify a lowercase validator in Mongoose?,lowercase: true,lowerCase: true,lower: true,lowerVal: true,lowercase: true
How do you specify an uppercase validator in Mongoose?,uppercase: true,upperCase: true,upper: true,upperVal: true,uppercase: true
Which of the following is NOT a valid EJS file extension?,.ejs,.html,.js,.tpl,.js
How do you specify a trim validator in Mongoose?,trim: true,trimVal: true,trimValue: true,trimmed: true,trim: true
How do you specify a match validator in Mongoose?,match: /pattern/,regex: /pattern/,pattern: /pattern/,matchVal: /pattern/,match: /pattern/
Which of the following is NOT a valid Mongoose schema option?,timestamps,collection,autoIndex,autoSchema,autoSchema
How do you specify a select option in Mongoose schema?,select: true,selectVal: true,selectOption: true,selectValue: true,select: true
