Question,Option A,Option B,Option C,Option D,Correct Answer
Which hormone is secreted by the anterior pituitary to stimulate ovary follicle growth?,Oxytocin,LH,Prolactin,FSH,FSH
What is the function of the prostate gland in males?,Transport sperm,Store sperm,Produce testosterone,Produce seminal fluid,Produce seminal fluid
Which structure in females is homologous to the male scrotum?,Labia minora,Mons pubis,Clitoris,Labia majora,Labia majora
Where does implantation of the fertilized egg occur?,Ovary,Uterus,Fallopian tube,Vagina,Uterus
What is the role of the endometrium?,Protect sperm,Nourish embryo,Secrete hormones,Produce ova,Nourish embryo
Which hormone causes uterine contractions during childbirth?,Oxytocin,Estrogen,Prolactin,Progesterone,Oxytocin
What is the name of the process by which sperm are formed?,Oogenesis,Menstruation,Spermatogenesis,Fertilization,Spermatogenesis
Which structure in males is responsible for the production of seminal fluid?,Prostate gland,Epididymis,Seminal vesicle,Testes,Seminal vesicle
What is the function of the labia majora?,Protect vaginal opening,Transport sperm,Produce ova,Secrete hormones,Protect vaginal opening
Which hormone stimulates milk production after childbirth?,Prolactin,Progesterone,Oxytocin,Estrogen,Prolactin
What is the function of the fallopian tube ampulla?,Store sperm,Transport sperm,Site of fertilization,Produce hormones,Site of fertilization
Where are spermatozoa stored before ejaculation?,Prostate gland,Seminal vesicle,Epididymis,Vas deferens,Epididymis
Which part of the female reproductive system is responsible for menstruation?,Uterus,Fallopian tube,Ovary,Vagina,Uterus
What is the function of the clitoris?,Secrete hormones,Transport sperm,Sexual arousal,Produce ova,Sexual arousal
Which hormone is responsible for the maintenance of the corpus luteum?,LH,hCG,Estrogen,FSH,hCG
What is the name of the structure that encloses the testes?,Vas deferens,Scrotum,Prostate gland,Penis,Scrotum
Which part of the male reproductive system is responsible for sperm transport during ejaculation?,Prostate gland,Seminal vesicle,Vas deferens,Epididymis,Vas deferens
What is the role of the cervix during childbirth?,Produce ova,Open to allow passage of baby,Transport sperm,Secrete hormones,Open to allow passage of baby
Which hormone causes the thickening of the endometrium?,FSH,LH,Progesterone,Estrogen,Progesterone
What is the function of the vagina?,Secrete hormones,Birth canal,Produce ova,Site of fertilization,Birth canal
Which hormone is responsible for ovulation?,LH,FSH,Estrogen,Progesterone,LH
What is the main function of the testes?,Produce ova,Produce estrogen,Produce sperm,Produce progesterone,Produce sperm
Which structure in females is homologous to the male prostate gland?,Labia majora,Bartholin's glands,Skene's glands,Clitoris,Skene's glands
What is the function of the epididymis?,Transport ova,Produce sperm,Store and mature sperm,Secrete testosterone,Store and mature sperm
Which hormone stimulates the contraction of the uterus during labor?,Prolactin,Oxytocin,Estrogen,Progesterone,Oxytocin
What is the name of the fluid that carries sperm during ejaculation?,Lymph,Urine,Semen,Plasma,Semen
Which part of the sperm provides motility?,Tail,Head,Acrosome,Middle piece,Tail
What is the function of the hymen?,Transport sperm,Site of fertilization,Protect vaginal opening,Produce hormones,Protect vaginal opening
Which hormone is responsible for the development of male secondary sexual characteristics?,Testosterone,Estrogen,Progesterone,FSH,Testosterone
What is the site of sperm production?,Seminal vesicle,Epididymis,Prostate gland,Seminiferous tubules,Seminiferous tubules
What is the function of the fallopian tubes?,Transport sperm,Transport ovum,Site of fertilization,Produce hormones,Transport ovum
Which hormone regulates the menstrual cycle?,Testosterone,Progesterone,FSH,Estrogen,Estrogen
What is the name of the muscular tube that connects the cervix to the external body?,Urethra,Penis,Fallopian tube,Vagina,Vagina
Which hormone stimulates the development of ovarian follicles?,Estrogen,Progesterone,LH,FSH,FSH
Which gland produces mucus to lubricate the male urethra?,Epididymis,Prostate gland,Seminal vesicle,Bulbourethral gland,Bulbourethral gland
What is the role of the uterus during pregnancy?,Nourish embryo,Produce ova,Secrete testosterone,Produce sperm,Nourish embryo
Which hormone triggers ovulation?,FSH,LH,Estrogen,Progesterone,LH
What is the name of the process where sperm and egg unite?,Ejaculation,Ovulation,Implantation,Fertilization,Fertilization
Which part of the female reproductive system is the site of fertilization?,Cervix,Uterus,Vagina,Ampulla of fallopian tube,Ampulla of fallopian tube
What is the function of the seminal vesicles?,Produce testosterone,Store sperm,Transport sperm,Produce seminal fluid,Produce seminal fluid
What is the function of the cervix?,Produce ova,Produce hormones,Site of fertilization,Connect uterus to vagina,Connect uterus to vagina
